Compartment,Gene1,Gene2,Delta_r,p_value,n_PCA,n_BPH,p_adj
serum,21-5p,19b-3p,-0.10425272667835594,0.7336,22,20,0.7336
serum,21-5p,mir-375-3p,-0.20669033652118401,0.5016,22,20,0.7336
serum,19b-3p,mir-375-3p,-0.19842291897827874,0.4524,22,20,0.7336
tissue,21-5p,19b-3p,-0.6360674206113913,0.0944,20,12,0.1416
tissue,21-5p,mir-375-3p,0.8652728925170988,0.015,20,12,0.045
tissue,19b-3p,mir-375-3p,-0.3303610243540624,0.4198,20,12,0.4198
blood,21-5p,19b-3p,-0.37620627738274787,0.14,34,26,0.42000000000000004
blood,21-5p,mir-375-3p,-0.002210599857658646,0.9922,34,26,0.9922
blood,19b-3p,mir-375-3p,0.01726482667659135,0.9376,34,26,0.9922
urine,21-5p,19b-3p,0.30027638768592746,0.0338,28,17,0.10139999999999999
urine,21-5p,mir-375-3p,-0.20160420490035103,0.427,28,17,0.6302
urine,19b-3p,mir-375-3p,-0.13912445564835024,0.6302,28,17,0.6302
